,trial_numb,player_choice,computer_choice,outcome,stimulus_kind
0,0,paper,paper,draw,random_choice
1,1,scissor,rock,lose,random_choice
2,2,rock,paper,lose,random_choice
3,3,paper,scissor,lose,random_choice
4,4,rock,scissor,win,random_choice
5,5,scissor,paper,win,weighted_choice
6,6,paper,rock,win,weighted_choice
7,7,rock,paper,lose,random_choice
8,8,scissor,paper,win,weighted_choice
9,9,paper,paper,draw,weighted_choice
10,10,rock,scissor,win,random_choice
11,11,paper,rock,win,random_choice
12,12,scissor,rock,lose,random_choice
13,13,paper,rock,win,weighted_choice
14,14,rock,paper,lose,random_choice
15,15,scissor,paper,win,weighted_choice
16,16,paper,rock,win,random_choice
17,17,rock,scissor,win,weighted_choice
18,18,scissor,scissor,draw,random_choice
19,19,paper,scissor,lose,weighted_choice
20,20,scissor,rock,lose,random_choice
21,21,rock,rock,draw,random_choice
22,22,paper,scissor,lose,weighted_choice
23,23,scissor,scissor,draw,random_choice
24,24,paper,paper,draw,weighted_choice
25,25,rock,paper,lose,random_choice
26,26,rock,scissor,win,weighted_choice
27,27,rock,paper,lose,weighted_choice
28,28,paper,rock,win,random_choice
29,29,scissor,scissor,draw,weighted_choice
30,30,scissor,scissor,draw,weighted_choice
31,31,paper,rock,win,weighted_choice
32,32,rock,scissor,win,random_choice
33,33,paper,scissor,lose,weighted_choice
34,34,rock,rock,draw,random_choice
35,35,scissor,paper,win,weighted_choice
36,36,paper,paper,draw,weighted_choice
37,37,scissor,paper,win,weighted_choice
38,38,rock,rock,draw,random_choice
39,39,paper,paper,draw,random_choice
40,40,scissor,scissor,draw,random_choice
41,41,paper,scissor,lose,weighted_choice
42,42,rock,paper,lose,weighted_choice
43,43,paper,scissor,lose,weighted_choice
44,44,scissor,rock,lose,weighted_choice
45,45,paper,paper,draw,random_choice
46,46,scissor,scissor,draw,weighted_choice
47,47,scissor,rock,lose,random_choice
48,48,scissor,paper,win,weighted_choice
49,49,scissor,scissor,draw,random_choice
50,50,scissor,scissor,draw,weighted_choice
51,51,scissor,rock,lose,weighted_choice
52,52,scissor,scissor,draw,weighted_choice
53,53,paper,rock,win,random_choice
54,54,paper,rock,win,random_choice
55,55,paper,rock,win,random_choice
56,56,paper,paper,draw,weighted_choice
57,57,paper,rock,win,weighted_choice
58,58,paper,scissor,lose,random_choice
59,59,paper,scissor,lose,random_choice
